id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,team_member_id
3PfvRBNy3J23eLxDp5iZd4,100 Bars & Gunnin,49,0.743,0.753,7,-7.584,1,0.28,0.00176,0,0.189,0.531,94.064,122553,4,mem_2
2f0VlO0xSJtgt2jkmOJzhT,9 Carrots,43,0.658,0.645,9,-7.323,0,0.113,0.0274,0.0311,0.106,0.55,79.244,181272,4,mem_2
0V3zk01d9ihHcXv1S3h7yQ,Son Of Serpentine,44,0.878,0.821,1,-6.766,1,0.2,0.00166,0.000166,0.0612,0.818,164.995,104727,4,mem_2
6ZyEkJUOrNJhM2ysyK71hw,Daddy Aioli Interlude,53,0.541,0.483,9,-9.712,0,0.217,0.737,0,0.306,0.263,107.855,85453,4,mem_2
1oUbYmF4SYYHorKY1wKo0K,Dream Dream Dream,59,0.372,0.555,4,-6.509,1,0.0332,0.13,1.26E-06,0.181,0.192,64.913,234933,4,mem_2
5h3uwxELUVyVpMuLXjdKKV,Spontaneous,51,0.645,0.791,5,-8.051,0,0.0384,0.0693,0.935,0.23,0.039,114.477,128647,4,mem_2
45DVlz0NtoU21E2yEr9ZUI,Twist Of Fate/ Cobra,42,0.52,0.934,3,-4.426,1,0.0621,0.000475,4.23E-05,0.0719,0.317,95.923,250032,4,mem_2
5OO7ybh0GQlXslHX4U4Vgr,CAROLMART FEAT. ICE BILLION BERG,57,0.736,0.671,1,-7.764,1,0.0505,0.00535,0,0.108,0.505,155.131,164120,4,mem_2
4Mqfhqtb5WmondLWYsCCrz,The Boys Are Back In Town,69,0.853,0.701,8,-5.908,1,0.34,0.212,0,0.142,0.643,155.069,147907,4,mem_2
2S9r3he7RP6j6ptiQGVW6Y,Kids,59,0.635,0.694,1,-3.549,1,0.159,0.0596,0,0.141,0.398,85.809,270131,4,mem_2
0tjsoAZfZO2kTrGbfOBuMt,Fast Lane,40,0.591,0.928,6,-3.166,0,0.118,0.000342,0.0541,0.372,0.827,82.03,181463,4,mem_2
6HUFOiTIGCizkemQxhQTao,Gravy For Pope,62,0.666,0.673,6,-7.906,1,0.218,0.437,1.74E-06,0.137,0.377,148.098,175960,4,mem_2
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,86,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98E-06,0.795,0.413,79.635,190067,4,mem_2
2FTOLKjQUswhpdMFq15Raf,SPEEDBOAT,70,0.925,0.628,6,-7.587,1,0.131,0.0604,0,0.358,0.81,120.021,222533,4,mem_2
3xaugmCyXrVkrDTXbFkMW3,Sanctuary,83,0.552,0.65,1,-7.199,1,0.128,0.422,0.000275,0.372,0.316,167.788,180019,4,mem_2
6fTt0CH2t0mdeB2N9XFG5r,Panini,93,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,114893,4,mem_2
0RQIpoZGnHOqA6pJXw22Sy,BULLETPROOF SHOWER CAP,48,0.726,0.735,10,-7.507,1,0.189,0.185,3.29E-06,0.368,0.539,77.511,114581,4,mem_2
1faIb3PPSzEifCHUOJ691R,Broke As Fuck,79,0.616,0.669,1,-5.791,1,0.32,0.0298,0,0.127,0.275,154.056,196112,4,mem_2
4Tk9QvtwwOj2Ah9E8ahutZ,Lost In Translation,63,0.569,0.791,2,-4.128,1,0.364,0.553,6.55E-06,0.102,0.367,156.947,289720,4,mem_2
5eagDEkYAcN7rhzOImor7k,I Can't Pretend,32,0.353,0.694,1,-6.069,0,0.0272,0.000792,0.00634,0.218,0.343,180.03,289454,4,mem_2
72hSRAHg4hXE5ApwSQQZPn,Breathe,73,0.538,0.52,7,-10.143,1,0.08,0.588,0.00912,0.301,0.0775,113.081,125468,3,mem_2
3xPmq4xcdWtAPm4uUO0yUo,Aliens Are Ghosts ($UICIDEBOY$ X TRAVIS BARKER),66,0.76,0.623,11,-7.803,1,0.213,0.0552,0.0044,0.161,0.598,139.044,133617,5,mem_2
4hPZAo05L3zuxT0QWC2OLu,Nine Shots (Hitler Diss),42,0.895,0.767,4,-6.23,1,0.273,0.0246,0.0169,0.144,0.449,152.995,147059,4,mem_2
0shSP8DgseLewHgAiMC4UL,WISH FEAT. KIDDO MARV,66,0.655,0.766,5,-6.746,0,0.0736,0.234,0,0.425,0.622,95.017,192013,4,mem_2
7hDJcQvYaaakNr2T0o4YfY,Lay It Down,42,0.762,0.854,0,-5.165,0,0.0444,0.239,0.000147,0.623,0.546,120.084,116000,4,mem_2
5N1o6d8zGcSZSeMFkOUQOk,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),87,0.872,0.814,0,-4.568,1,0.155,0.00485,1.96E-06,0.214,0.57,98.985,199427,4,mem_2
7mMLKwFMq8STlXOBexSwqf,Who I Am,47,0.897,0.844,8,-5.059,1,0.0841,0.00415,0.013,0.618,0.801,119.989,208973,4,mem_2
2fe43BkB7a1NrD0BwQnOtG,Fema,42,0.786,0.713,2,-6.201,1,0.147,0.009,1.88E-05,0.149,0.54,160.046,168000,4,mem_2
2nLOfwzuAx6iYSWhngcYmN,Richard Simmons,57,0.707,0.691,10,-6.616,1,0.27,0.116,0,0.0803,0.789,169.108,142907,4,mem_2
0bsR8k20ADjBCdOOAntDyi,Here on My Own,44,0.793,0.51,1,-8.88,1,0.039,0.131,0.861,0.0681,0.433,120.003,350261,4,mem_2
5qozAS2huRB1yn4XDnJtoX,50-50 (feat. Instupendo),46,0.623,0.461,8,-8.223,1,0.033,0.0149,0.00349,0.346,0.376,130.02,206912,4,mem_2
1YR9iNGXtsbrd8deR9ULDD,Jesus Is The One (I Got Depression),72,0.857,0.446,1,-12.778,1,0.902,0.215,0,0.0964,0.327,100.122,112800,4,mem_2
5rxrXQ6V5CXu9doBCd67qD,Killing 2 Birds With 22 Stones ($UICIDEBOY$ X TRAVIS BARKER),61,0.655,0.743,1,-5.26,1,0.0388,0.00123,2.92E-06,0.47,0.0664,130.031,143259,4,mem_2
4zoYSZrDb3EUPWlDi2OwAC,Great Influence,49,0.734,0.724,11,-5.648,1,0.267,0.0133,0,0.248,0.256,85.025,203294,4,mem_2
5LeStoyvjAHpM52IYogOq0,Eternal,69,0.793,0.524,5,-6.229,0,0.148,0.0622,0,0.0803,0.631,95.044,243915,4,mem_2
54TctO4Km2DBOQIJ0SSXI9,Does it real good,45,0.653,0.71,11,-5.891,1,0.154,0.00538,0.000902,0.471,0.271,170.016,158694,4,mem_2
5CAmIYoqF6UWGmMfhh4epI,P.O.P.,50,0.76,0.923,8,-4.295,1,0.0642,0.08,0.00275,0.272,0.909,87.001,143448,4,mem_2
59iJua476fbi3PbddfPrez,The City,43,0.528,0.81,7,-2.174,0,0.044,0.00198,0,0.846,0.295,124.995,233693,4,mem_2
1nXZnTALNXiPlvXotqHm66,A BOY IS A GUN*,73,0.417,0.689,2,-8.302,0,0.178,0.575,0,0.496,0.505,79.568,210253,4,mem_2
0C5HhT9O1Wn41s3pXLzDFx,NOIZE,44,0.47,0.794,2,-3.642,1,0.114,0.113,0,0.119,0.133,160.12,247760,4,mem_2
4FMsajq8hKiOmcJ7UzOhag,Space Age Love Song,53,0.447,0.744,2,-4.613,1,0.0311,3.62E-05,0.106,0.21,0.552,139.959,226693,4,mem_2
2EgZ0usmUxyNpCoyiFwEGT,Envy Me,50,0.834,0.681,8,-6.729,1,0.102,0.083,0,0.282,0.225,116.987,270007,4,mem_2
6bOkaEXc5CopinGazSLokx,WHAT'S GOOD,70,0.458,0.909,1,-6.553,1,0.487,0.0567,4.26E-06,0.11,0.449,118.227,205627,4,mem_2
73HTSIrIUAcVLJlrYdtPgs,Public Pervert,37,0.318,0.813,5,-3.658,1,0.0344,0.000915,0.696,0.185,0.287,98.831,280080,4,mem_2
6trZBfGagQQeI97yJQuq4c,Habit - Blood Cultures Remix,51,0.711,0.463,1,-9.733,0,0.0361,0.614,0.125,0.364,0.65,90.034,213028,4,mem_2
79gyBvPc2zj3oIrhI50Eag,"Coronus, the Terminator",45,0.438,0.529,2,-6.158,0,0.0355,0.19,0.0474,0.138,0.294,79.929,160136,4,mem_2
6hss0gnCns54MMftGzD0Ma,Not About You,45,0.89,0.88,7,-6.466,1,0.0941,0.0765,0.000574,0.124,0.868,126.001,202197,4,mem_2
5vvxulBeCeY49Ha3JThZMj,More,55,0.714,0.805,11,-5.589,0,0.062,0.173,0.0276,0.106,0.359,96.983,257588,4,mem_2
2TqfASuL5JRds7bJX01PdZ,AUTOMATIC,62,0.818,0.648,2,-5.899,1,0.0914,0.00488,0,0.077,0.374,140.058,182520,4,mem_2
2b97XbkLh4uK77Sj8Kder9,"Buff Squad (feat. Pouya, Germ & Shakewell)",44,0.767,0.514,1,-7.314,1,0.0587,0.144,0,0.157,0.0756,120.07,175401,4,mem_2
3er7NHWboyZoPFwFu1VZuq,Mosh Pit Killa,53,0.767,0.514,1,-7.314,1,0.0587,0.144,0,0.157,0.0756,120.07,175401,4,mem_2
1j49Jcm99RNCmFrnRZgliG,Land Of Honey,48,0.727,0.825,2,-3.245,1,0.103,0.0145,0,0.118,0.389,83.987,151429,4,mem_2
6xbDAaVUnQ2kaPAg5GXjFW,Detroit,49,0.368,0.619,9,-6.633,0,0.0308,0.0619,0.0476,0.145,0.0878,88.033,207994,4,mem_2
55ulvVJi4JnaAkbcsTMguC,Burn Out Blues,42,0.829,0.588,9,-7.678,1,0.0555,0.0125,0.602,0.108,0.963,122.968,123387,4,mem_2
41y8HTDfVVuQHWCPmXKKpO,The New Jim Jones,42,0.45,0.935,9,-2.7,0,0.105,0.0227,0.0027,0.371,0.643,94.471,223600,4,mem_2
4yHLejQxBnufgbFPALQkK3,FF4,55,0.719,0.733,4,-2.869,0,0.139,0.156,1.91E-05,0.117,0.326,160.424,110062,4,mem_2
6nsyYPCDUSacgXci9mvWln,Whip A Tesla,76,0.607,0.184,6,-7.69,1,0.102,0.442,0.937,0.117,0.475,81.245,71520,4,mem_2
52YL2YQ0ZKQTEp89inFJaE,Tuytus,41,0.814,0.527,9,-7.001,0,0.328,0.179,0.000512,0.0767,0.54,170.063,153733,4,mem_2
40lNrVm9kadzFvP6WGdidN,Are You Ready (DJ SHIMAMURA Remix),15,0.292,0.726,7,-4.263,1,0.0997,0.00578,0.001,0.313,0.24,110.008,196364,4,mem_2
2BfyXyivg20NJ5dgqJfKfL,Charlene,59,0.434,0.863,6,-3.792,1,0.0733,0.00154,0.0731,0.105,0.338,174.792,347001,4,mem_2
3QzNJOH7CDUITrjR2XVSqN,nothingleftnothingleft ($UICIDEBOY$ X TRAVIS BARKER),46,0.553,0.554,0,-7.202,0,0.301,0.263,0,0.141,0.538,174.101,160693,4,mem_2
3OiBc6E43P6Y5LoqNbbMKf,M.E.,54,0.466,0.901,6,-5.299,0,0.199,3.79E-05,0.0472,0.143,0.428,172.065,100070,4,mem_2
4uNlalGn7C7EE8PsB6Ap2E,Free All The Opps,41,0.433,0.637,0,-8.138,1,0.0283,0.00956,0.0849,0.123,0.21,109.924,337240,4,mem_2
6VzljrhwFZToTt6QrH29eA,Don't Give Up,41,0.872,0.59,1,-5.886,1,0.381,0.0556,7.27E-06,0.124,0.52,84.039,171507,4,mem_2
5XqLKEzLxISZmv5ZgQjkwz,Deep In My Heart,29,0.504,0.886,6,-7.56,0,0.049,0.0152,0.0378,0.697,0.562,93.96,234680,4,mem_2
6QVqhBd4NcFa4ib1SFaaGE,Lily Love,38,0.3,0.944,7,-3.941,1,0.125,0.00489,5.54E-06,0.266,0.386,180.008,230128,4,mem_2
6eSTuG07FIPpLkekbpYIsZ,Momma Told Me,51,0.583,0.555,6,-7.473,0,0.0653,0.00747,0.0372,0.128,0.112,95.016,268303,4,mem_2
0sScQzmNYIlzPX8G1M1rKc,Be with You (DJ Shimamura's Hardcore VIP),9,0.572,0.79,0,-6.573,1,0.461,0.438,0,0.989,0.416,79.87,234893,4,mem_2
51I1yDlnp13kwxBEjc1xIm,More,50,0.536,0.907,10,-5.342,0,0.0747,0.000899,0.00707,0.148,0.499,169.985,345520,4,mem_2
2FsmzwRk5RCQYQxKZ7irPJ,Psycho On The Loose,42,0.714,0.805,11,-5.589,0,0.062,0.173,0.0276,0.106,0.359,96.983,257588,4,mem_2
2cOE7d35PyfAh9M7DglPk0,In This Place,63,0.76,0.893,2,-3.96,1,0.0827,0.156,0.156,0.125,0.406,161.05,108820,4,mem_2
5WtMpQgVIeZq06bXbYJO01,P.A.T. FEAT. PLAYTHATBOIZAY,58,0.405,0.62,0,-6.806,0,0.142,0.0419,1.38E-05,0.108,0.48,195.881,201342,4,mem_2
6MRcHrolTCDQWCMSKpbnS5,Black Balloons Reprise,46,0.598,0.723,1,-7.179,0,0.181,0.00534,0,0.41,0.379,160.062,180480,4,mem_2
6tByydPskASjm9jTPkNQq0,Numb Numb Juice,74,0.658,0.722,1,-6.115,1,0.115,0.0932,0,0.124,0.152,88.028,161972,4,mem_2
3bBmpVl9rQKJsFFGLFilIS,Charcoal Baby,67,0.885,0.492,1,-6.015,1,0.367,0.00172,7.79E-05,0.081,0.203,156.958,107147,4,mem_2
3VUZLAnE17QSUJAzYxgVb1,Six Speed,56,0.622,0.46,7,-8.389,0,0.0372,0.14,0.000369,0.119,0.514,183.241,242341,4,mem_2
38nyi6J4H44dXpf0PE3bWE,Alley Oop,70,0.815,0.946,2,-4.153,1,0.268,0.0802,0,0.315,0.864,175.014,111833,4,mem_2
7tZQ7KKB0514q8IGgTcf2u,Cyanide,57,0.857,0.503,6,-7.502,1,0.265,0.266,0,0.0852,0.867,122.036,152187,4,mem_2
7zq5lyei1uoskShdtxQO1o,Approaching Pavonis Mons by Balloon (Utopia Planitia),38,0.675,0.92,8,-6.142,1,0.41,0.00596,0.0184,0.808,0.112,154.939,133494,4,mem_2
6MDLO5bi8mGexqSwF9KmpH,Lilly,53,0.418,0.729,4,-4.131,0,0.0311,0.000116,0.311,0.102,0.279,166.454,189280,4,mem_2
7sGTH1fber0bhncNMfNxmt,All My Friends,67,0.47,0.652,3,-6.501,1,0.0335,0.0446,0.0635,0.311,0.524,139.975,267789,4,mem_2
0xxbDtdmc88FOV7YvpEtft,94 Bentley,64,0.669,0.757,8,-4.259,0,0.0469,0.0248,0,0.283,0.708,106.018,204627,4,mem_2
0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,79,0.696,0.558,7,-5.253,1,0.0512,0.0792,0,0.162,0.217,113,169405,4,mem_2
4no0eHn4fEB7tN1yZSXMma,C7osure (You Like),73,0.757,0.707,3,-5.53,0,0.0279,0.0294,2.55E-05,0.0969,0.638,100.982,196520,4,mem_2
0fv2KH6hac06J86hBUTcSf,NEW MAGIC WAND,72,0.847,0.742,8,-5.515,0,0.247,0.397,0,0.135,0.56,133.989,148653,4,mem_2
37ufe1F2g1nOuI0z2sd6M4,Found A Good One (Single No More),61,0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566,195320,4,mem_2
4H1FdAyWZBNzwcHFQYeGy6,Wishes,49,0.78,0.63,7,-7.473,1,0.308,0.0346,2.70E-06,0.0537,0.607,126.066,258018,4,mem_2
4V0x90QcMh4ZxwHzEWOdtK,Feel It All Around,65,0.244,0.721,1,-4.715,1,0.0354,0.0272,0,0.145,0.114,98.825,241350,4,mem_2
2oq2dbjW3sxOY0BscMWd7Q,I'll Be Alright,47,0.34,0.737,8,-4.681,1,0.0582,0.000105,0.762,0.0699,0.499,172.022,192080,4,mem_2
6omKuJwfiJGXv6mUAyAeuL,I Hope Time Doesn't Change Him,33,0.52,0.873,2,-5.365,1,0.0572,9.13E-05,1.96E-06,0.226,0.52,140.027,262453,4,mem_2
7DcvwMAiqKJQD1rrdfxSDx,The London (feat. J. Cole & Travis Scott),89,0.572,0.637,9,-6.607,0,0.0253,0.000598,0.22,0.204,0.151,102.966,283055,4,mem_2
3ZWyikM4svAPXDTFQhIPHI,No Favors,32,0.796,0.586,4,-6.946,0,0.147,0.0247,0,0.132,0.179,97.981,200107,4,mem_2
31F0KxmTD4rz3o0tJht5RL,Ordinary Pleasure,58,0.61,0.848,4,-6.683,0,0.0774,0.0561,0.552,0.145,0.244,116.991,294920,4,mem_2
1Kk1cJH0tRZu8eDXHlTGY1,Mister Impossible,56,0.878,0.779,7,-7.283,1,0.135,0.118,0.0192,0.104,0.778,115.009,183746,4,mem_2
3V0ak0F8fLXmp3hYAEQKZH,Love Is Greed,37,0.613,0.85,11,-6.051,0,0.0396,4.15E-05,0.422,0.155,0.568,91.985,216400,4,mem_2
0Z7S8ity4SYlkzbJpejd1v,It All Feels Right,54,0.541,0.77,2,-6.03,1,0.0298,0.0426,1.18E-06,0.218,0.24,101.066,260280,4,mem_2
5sG65w8uKtjsJw7nc845Nc,ZUU,64,0.316,0.748,2,-8.187,1,0.0413,0.000304,0.0139,0.608,0.256,79.337,245880,4,mem_2
4kOZno4WP8u5ju8oXypNIs,Leaf House,45,0.678,0.509,2,-8.494,0,0.138,0.15,0,0.489,0.351,141.037,126000,4,mem_2
6B182GP3TvEfmgUoIMVUSJ,Evil,65,0.544,0.791,0,-8.376,1,0.0528,0.697,0.0725,0.346,0.351,133.742,162627,3,mem_2
